(624, 'Oostende', 2021): 0.590	0.336	0.305	0.761	0.614	0.337	0.328	0.748	0.668	0.387	0.333	0.898	0.628	0.457	0.217	0.914	0.567	0.425	0.210	0.810	0.584	0.394	0.241	0.730	0.677	0.073	0.647	0.709	
(736, 'Charleroi', 2021): 0.630	0.275	0.375	0.766	0.660	0.291	0.415	0.785	0.666	0.314	0.415	0.873	0.680	0.398	0.273	0.862	0.598	0.460	0.198	0.813	0.619	0.359	0.320	0.743	0.721	0.091	0.683	0.760	
(266, 'KV Mechelen', 2021): 0.600	0.391	0.232	0.759	0.628	0.267	0.416	0.746	0.671	0.286	0.407	0.889	0.643	0.415	0.257	0.820	0.592	0.453	0.161	0.801	0.592	0.348	0.262	0.712	0.694	0.006	0.692	0.697	
(740, 'Antwerp', 2021): 0.638	0.340	0.389	0.851	0.640	0.380	0.263	0.787	0.698	0.377	0.367	0.916	0.699	0.411	0.346	0.939	0.631	0.482	0.233	0.871	0.641	0.499	0.241	0.824	0.735	0.041	0.713	0.753	
(171, '1. FC Nürnberg', 2021): 0.584	0.375	0.208	0.797	0.631	0.357	0.370	0.870	0.693	0.325	0.403	0.911	0.640	0.390	0.244	0.897	0.583	0.384	0.246	0.761	0.595	0.448	0.254	0.766	0.707	0.146	0.631	0.764	
(190, 'Erzgebirge Aue', 2021): 0.553	0.340	0.227	0.716	0.583	0.351	0.310	0.748	0.683	0.264	0.481	0.854	0.612	0.442	0.255	0.909	0.550	0.397	0.183	0.820	0.534	0.435	0.215	0.718	0.703	0.154	0.606	0.748	
(186, 'FC St. Pauli', 2021): 0.612	0.312	0.372	0.779	0.599	0.376	0.279	0.786	0.679	0.323	0.441	0.886	0.660	0.425	0.230	0.937	0.581	0.393	0.225	0.848	0.557	0.515	0.173	0.713	0.670	0.078	0.639	0.702	
(191, 'Holstein Kiel', 2021): 0.615	0.314	0.349	0.756	0.639	0.327	0.357	0.792	0.673	0.315	0.423	0.868	0.641	0.397	0.296	0.868	0.586	0.397	0.179	0.837	0.587	0.377	0.259	0.731	0.688	0.148	0.617	0.744	
(189, 'SV Sandhausen', 2021): 0.595	0.323	0.348	0.773	0.609	0.332	0.305	0.771	0.650	0.389	0.340	0.862	0.630	0.475	0.244	0.889	0.572	0.410	0.233	0.781	0.602	0.346	0.312	0.736	0.669	0.098	0.618	0.712	
(158, 'Fortuna Düsseldorf', 2021): 0.621	0.298	0.360	0.780	0.639	0.270	0.411	0.763	0.675	0.325	0.376	0.899	0.682	0.332	0.311	0.845	0.601	0.380	0.256	0.793	0.605	0.450	0.239	0.748	0.697	0.066	0.670	0.724	
(606, 'FC Lugano', 2021): 0.569	0.328	0.328	0.737	0.585	0.395	0.250	0.735	0.673	0.380	0.384	0.902	0.661	0.340	0.316	0.893	0.596	0.341	0.247	0.775	0.613	0.279	0.384	0.723	0.582	0.133	0.525	0.650	
(783, 'FC Zurich', 2021): 0.569	0.348	0.289	0.753	0.594	0.361	0.286	0.765	0.670	0.374	0.366	0.927	0.624	0.465	0.216	0.899	0.555	0.411	0.166	0.790	0.568	0.358	0.280	0.712	0.690	0.098	0.650	0.739	
(349, 'Piast Gliwice', 2021): 0.575	0.352	0.273	0.742	0.594	0.390	0.273	0.809	0.665	0.284	0.394	0.835	0.627	0.463	0.215	0.873	0.549	0.424	0.180	0.774	0.561	0.423	0.227	0.704	0.687	0.052	0.660	0.710	
(3491, 'Raków Częstochowa', 2021): 0.588	0.273	0.332	0.720	0.612	0.311	0.314	0.761	0.714	0.341	0.496	0.936	0.663	0.394	0.280	0.935	0.574	0.376	0.216	0.758	0.541	0.388	0.239	0.690	0.684	0.096	0.638	0.718	
