match_id,country,comp_name,season,home_team,away_team,prediction,odds_yes,odds_no,base_bet,recommended_bet_yes,recommended_bet_no,time_remaining_sec,match_start_datetime_utc,bet_placed,won
1223898,Italy,Serie A,2024,Genoa,Udinese,0.527434647,1.52,2.67,100,0,15.67362229,1910,2025-04-04 18:45 UTC,15.67,0
1212939,Spain,La Liga,2024,Rayo Vallecano,Espanyol,0.483244926,1.6,2.47,100,0,18.80170295,2918,2025-04-04 19:00 UTC,18.8,46.44
1216311,England,Championship,2024,Blackburn,Middlesbrough,0.541118979,1.94,1.92,100,5.2947681,0,1450,2025-04-04 19:00 UTC,5.29,10.26
1226414,Germany,2. Bundesliga,2024,1. FC Nürnberg,Hamburger SV,0.45583298802375793,2.53,1.55,100.0,10.016827431379577,0.0,1233,2025-04-05 11:00 UTC,10.02,0
1208326,England,Premier League,2024,Everton,Arsenal,0.4619443416595459,1.56,2.57,100.0,0.0,24.382359358915096,2983,2025-04-05 11:30 UTC,24.38,0
1216322,England,Championship,2024,West Brom,Sunderland,0.49000272154808044,1.77,2.11,100.0,0.0,6.85533851653605,1455,2025-04-05 11:30 UTC,6.86,0
1217438,England,League Two,2024,Walsall,Port Vale,0.4850918650627136,1.53,2.33,100.0,0.0,15.01774093262235,1362,2025-04-05 11:30 UTC,15.02,35.0
1208763,Spain,La Liga,2024,Girona,Alaves,0.5114425420761108,1.73,2.22,100.0,0.0,6.934225950084759,2666,2025-04-05 12:00 UTC,6.93,0
1223901,Italy,Serie A,2024,Monza,Como,0.5370620489120483,1.98,1.92,100.0,6.46763845365874,0.0,1627,2025-04-05 13:00 UTC,6.47,0
1234942,Italy,Serie B,2024,Cittadella,Carrarese,0.5029178857803345,1.66,2.22,100.0,0.0,8.48543389898832,1588,2025-04-05 13:00 UTC,8.49,0
1234943,Italy,Serie B,2024,Frosinone,Cosenza,0.48534056544303894,1.55,2.43,100.0,0.0,17.526043774364712,1563,2025-04-05 13:00 UTC,17.53,42.60
1234949,Italy,Serie B,2024,Sudtirol,Cesena,0.4895316958427429,1.53,2.5,100.0,0.0,18.41138402620951,1535,2025-04-05 13:00 UTC,18.41,0
1238111,Turkey,Süper Lig,2024,Istanbul Basaksehir,Konyaspor,0.4033002257347107,1.77,1.94,100.0,0.0,16.76569809304907,1502,2025-04-05 13:00 UTC,16.77,0
1224218,Germany,Bundesliga,2024,RB Leipzig,1899 Hoffenheim,0.49387043714523315,2.72,1.5,100.0,19.960906339246172,0.0,2242,2025-04-05 13:30 UTC,19.96,0
1224223,Germany,Bundesliga,2024,FSV Mainz 05,Holstein Kiel,0.4792032837867737,2.51,1.58,100.0,13.430479622834563,0.0,1537,2025-04-05 13:30 UTC,13.43,33.71
1224225,Germany,Bundesliga,2024,VfL Bochum,VfB Stuttgart,0.47431284189224243,2.48,1.59,100.0,11.911881614375758,0.0,2175,2025-04-05 13:30 UTC,11.91,0
1208328,England,Premier League,2024,Ipswich,Wolves,0.5122242569923401,1.67,2.32,100.0,0.0,9.972706346800827,1957,2025-04-05 14:00 UTC,9.97,23.13
1208332,England,Premier League,2024,West Ham,Bournemouth,0.4187374711036682,2.05,1.85,100.0,0.0,8.863020995083984,1927,2025-04-05 14:00 UTC,8.86,16.39
1216315,England,Championship,2024,Millwall,Portsmouth,0.5425665378570557,1.52,2.6,100.0,0.0,11.832937598228455,1071,2025-04-05 14:00 UTC,11.83,30.76
1216317,England,Championship,2024,Plymouth,Norwich,0.5352447032928467,2.05,1.82,100.0,9.262061119079586,0.0,1034,2025-04-05 14:00 UTC,9.26,0
1216318,England,Championship,2024,Preston,Stoke City,0.5461181402206421,1.62,2.37,100.0,0.0,5.525548005626153,1009,2025-04-05 14:00 UTC,5.53,0
1216321,England,Championship,2024,Swansea,Derby,0.5442057251930237,1.41,2.99,100.0,0.0,18.232406114214033,948,2025-04-05 14:00 UTC,18.23,0
1216875,England,League One,2024,Birmingham,Barnsley,0.4998978078365326,2.24,1.58,100.0,9.658958834986537,0.0,908,2025-04-05 14:00 UTC,9.66,0
1216876,England,League One,2024,Bolton,Bristol Rovers,0.5026346445083618,2.26,1.56,100.0,10.790023538801396,0.0,884,2025-04-05 14:00 UTC,10.79,24.39
1216877,England,League One,2024,Charlton,Lincoln,0.5004516839981079,1.53,2.33,100.0,0.0,12.326885434917939,835,2025-04-05 14:00 UTC,12.33,28.73
1216878,England,League One,2024,Exeter City,Stockport County,0.5220019221305847,1.51,2.37,100.0,0.0,9.697477704417096,810,2025-04-05 14:00 UTC,9.7,0
1216880,England,League One,2024,Leyton Orient,Wigan,0.5262365341186523,1.48,2.44,100.0,0.0,10.832142829895021,764,2025-04-05 14:00 UTC,10.83,0
1217428,England,League Two,2024,Bradford,Crewe,0.5266035795211792,1.56,2.26,100.0,0.0,5.545707165248803,667,2025-04-05 14:00 UTC,5.55,0
1217430,England,League Two,2024,Carlisle,Newport County,0.5550307035446167,1.92,1.78,100.0,7.1368424788765195,0.0,635,2025-04-05 14:00 UTC,7.14,0
1217436,England,League Two,2024,Salford City,Gillingham,0.5252130031585693,1.57,2.24,100.0,0.0,5.122812332645543,557,2025-04-05 14:00 UTC,5.12,11.47
1220296,Scotland,Premiership,2024,Dundee,ST Mirren,0.4534790515899658,1.85,1.94,100.0,0.0,6.409642544198543,1886,2025-04-05 14:00 UTC,6.41,0
1220299,Scotland,Premiership,2024,Rangers,Hibernian,0.4329719543457031,2.52,1.52,100.0,5.992718746787621,0.0,1119,2025-04-05 14:00 UTC,5.99,15.09
1208756,Spain,La Liga,2024,Real Madrid,Valencia,0.3753834664821625,3.01,1.49,100.0,6.462897219468111,0.0,2598,2025-04-05 14:15 UTC,6.46,0
1217864,Spain,Segunda División,2024,Eibar,Oviedo,0.5074082016944885,1.41,2.86,100.0,0.0,21.979168986761444,1426,2025-04-05 14:15 UTC,21.98,0
1213996,France,Ligue 1,2024,Paris Saint Germain,Angers,0.37649184465408325,4.26,1.25,100.0,18.5231674302575,0.0,1667,2025-04-05 15:00 UTC,18.52,78.90
1361702,Austria,Bundesliga,2024,Austria Klagenfurt,SCR Altach,0.4734744429588318,1.69,2.17,100.0,0.0,12.184654596524357,1603,2025-04-05 15:00 UTC,12.18,26.43
1234946,Italy,Serie B,2024,Pisa,Modena,0.4940580427646637,1.73,2.1,100.0,0.0,5.679828199473294,1587,2025-04-05 15:15 UTC,5.68,11.93
1203192,Poland,Ekstraklasa,2024,Slask Wroclaw,Motor Lublin,0.489167720079422,2.18,1.6,100.0,5.6259008282322025,0.0,1526,2025-04-05 15:30 UTC,5.63,12.27
1223902,Italy,Serie A,2024,Parma,Inter,0.491673082113266,2.16,1.77,100.0,5.346022186608153,0.0,1689,2025-04-05 16:00 UTC,5.35,0
1327734,Switzerland,Super League,2024,Lausanne,FC Sion,0.451504111289978,1.87,1.93,100.0,0.0,6.300759700036814,1641,2025-04-05 16:00 UTC,6.3,0
1327735,Switzerland,Super League,2024,FC Winterthur,FC Zurich,0.4530172348022461,2.42,1.56,100.0,6.781810438129258,0.0,1616,2025-04-05 16:00 UTC,6.78,16.41
1361774,Belgium,Jupiler Pro League,2024,KVC Westerlo,OH Leuven,0.4992744028568268,2.14,1.75,100.0,6.0041422906674935,0.0,1166,2025-04-05 16:15 UTC,6.0,0
1208323,England,Premier League,2024,Aston Villa,Nottingham Forest,0.4492262303829193,1.93,1.96,100.0,0.0,8.28297796348731,1147,2025-04-05 16:30 UTC,8.28,16.23
1208761,Spain,La Liga,2024,Mallorca,Celta Vigo,0.4912436604499817,1.68,2.31,100.0,0.0,13.376117890117733,1123,2025-04-05 16:30 UTC,13.38,30.91
