comp_name,season,comp_season_id,round_id,match_count,distinct_teams,regular_matches,non_regular_matches,inferred_round_type,first_match_date,last_match_date
England EFL League Two,2023,9581,100254,4,4,0,4,non-regular round type,2024-05-06T00:00:00+00:00,2024-05-11T00:00:00+00:00
England EFL League Two,2024,12422,110360,552,24,552,0,regular-season round type,2024-08-09T00:00:00+00:00,2025-05-03T00:00:00+00:00
England EFL League Two,2024,12422,110361,1,2,0,1,non-regular round type,2025-05-26T00:00:00+00:00,2025-05-26T00:00:00+00:00
England EFL League Two,2024,12422,110362,4,4,0,4,non-regular round type,2025-05-10T00:00:00+00:00,2025-05-17T00:00:00+00:00
France Ligue 2,2021,6018,70537,380,20,380,0,regular-season round type,2021-07-24T00:00:00+00:00,2022-05-14T00:00:00+00:00
France Ligue 2,2021,6018,70538,1,2,0,1,non-regular round type,2022-05-20T00:00:00+00:00,2022-05-20T00:00:00+00:00
France Ligue 2,2021,6018,70539,1,2,0,1,non-regular round type,2022-05-17T00:00:00+00:00,2022-05-17T00:00:00+00:00
France Ligue 2,2023,9621,100424,380,20,380,0,regular-season round type,2023-08-05T00:00:00+00:00,2024-05-17T00:00:00+00:00
France Ligue 2,2023,9621,100425,1,2,0,1,non-regular round type,2024-05-24T00:00:00+00:00,2024-05-24T00:00:00+00:00
France Ligue 2,2023,9621,100426,1,2,0,1,non-regular round type,2024-05-21T00:00:00+00:00,2024-05-21T00:00:00+00:00
France Ligue 2,2024,12338,110068,306,18,306,0,regular-season round type,2024-08-16T00:00:00+00:00,2025-05-10T00:00:00+00:00
France Ligue 2,2024,12338,110069,1,2,0,1,non-regular round type,2025-05-17T00:00:00+00:00,2025-05-17T00:00:00+00:00
France Ligue 2,2024,12338,110070,1,2,0,1,non-regular round type,2025-05-14T00:00:00+00:00,2025-05-14T00:00:00+00:00
India Indian Super League,2021,6659,76989,110,11,110,0,regular-season round type,2021-11-19T00:00:00+00:00,2022-03-07T00:00:00+00:00
India Indian Super League,2021,6659,76990,1,2,0,1,non-regular round type,2022-03-20T00:00:00+00:00,2022-03-20T00:00:00+00:00
India Indian Super League,2021,6659,76991,4,4,0,4,non-regular round type,2022-03-11T00:00:00+00:00,2022-03-16T00:00:00+00:00
India Indian Super League,2022,8342,94212,110,11,110,0,regular-season round type,2022-10-07T00:00:00+00:00,2023-02-26T00:00:00+00:00
