comp_name,season,comp_season_id,n_teams,total_matches,regular_matches,non_regular_matches,non_regular_kept_matches,non_regular_filtered_matches,non_regular_share,distinct_round_ids,regular_round_ids,non_regular_round_ids,kept_round_ids,filtered_round_ids,min_team_matches,max_team_matches,median_team_matches,first_match_date,last_match_date,notes
Denmark Superliga,2021,5961,12,193,132,61,60,1,0.3160621761658031,4,1,3,3,1,32,33,32.0,2021-07-16T00:00:00+00:00,2022-05-29T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Denmark Superliga,2022,7426,12,193,132,61,60,1,0.3160621761658031,4,1,3,3,1,32,33,32.0,2022-07-15T00:00:00+00:00,2023-06-09T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Denmark Superliga,2023,9545,12,193,132,61,60,1,0.3160621761658031,4,1,3,3,1,32,33,32.0,2023-07-21T00:00:00+00:00,2024-05-31T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Denmark Superliga,2024,12132,12,193,132,61,60,1,0.3160621761658031,4,1,3,3,1,32,33,32.0,2024-07-19T00:00:00+00:00,2025-06-01T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England Championship,2021,6089,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2021-08-06T00:00:00+00:00,2022-05-29T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England Championship,2022,7593,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2022-07-29T00:00:00+00:00,2023-05-27T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England Championship,2023,9663,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2023-08-04T00:00:00+00:00,2024-05-26T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England Championship,2024,12451,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2024-08-09T00:00:00+00:00,2025-05-24T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England EFL League One,2021,6017,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2021-08-07T00:00:00+00:00,2022-05-21T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England EFL League One,2022,7570,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2022-07-30T00:00:00+00:00,2023-05-29T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England EFL League One,2023,9582,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2023-08-05T00:00:00+00:00,2024-05-18T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England EFL League One,2024,12446,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2024-08-09T00:00:00+00:00,2025-05-25T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England EFL League Two,2021,6015,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2021-08-07T00:00:00+00:00,2022-05-28T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England EFL League Two,2022,7574,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2022-07-30T00:00:00+00:00,2023-05-28T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England EFL League Two,2023,9581,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2023-08-05T00:00:00+00:00,2024-05-19T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England EFL League Two,2024,12422,24,557,552,5,0,5,0.008976660682226212,3,1,2,1,2,46,49,46.0,2024-08-09T00:00:00+00:00,2025-05-26T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
