competition,season,stat,n_missing,n_zero,n_total,missing_pct,zero_pct,missing_or_zero_pct
England Championship,2022,home_shots_off_target,0,0,557,0.0,0.0,0.0
England Championship,2022,home_shots_on_target,0,0,557,0.0,0.0,0.0
England Championship,2022,home_total_shots,0,1,557,0.0,0.17953321364452424,0.0
England Championship,2022,home_xg,0,0,557,0.0,0.0,0.0
England Championship,2022,home_yellow_cards,0,0,557,0.0,0.0,0.0
England Championship,2023,away_attacks,0,0,557,0.0,0.0,0.0
England Championship,2023,away_corners,0,0,557,0.0,0.0,0.0
England Championship,2023,away_dangerous_attacks,0,0,557,0.0,0.0,0.0
England Championship,2023,away_fouls,0,0,557,0.0,0.0,0.0
England Championship,2023,away_possession,0,0,557,0.0,0.0,0.0
England Championship,2023,away_prematch_xg,0,24,557,0.0,4.308797127468582,0.0
England Championship,2023,away_red_cards,0,0,557,0.0,0.0,0.0
England Championship,2023,away_shots_off_target,0,0,557,0.0,0.0,0.0
England Championship,2023,away_shots_on_target,0,0,557,0.0,0.0,0.0
England Championship,2023,away_total_shots,0,0,557,0.0,0.0,0.0
England Championship,2023,away_xg,0,0,557,0.0,0.0,0.0
England Championship,2023,away_yellow_cards,0,0,557,0.0,0.0,0.0
England Championship,2023,home_attacks,0,0,557,0.0,0.0,0.0
England Championship,2023,home_corners,0,0,557,0.0,0.0,0.0
England Championship,2023,home_dangerous_attacks,0,0,557,0.0,0.0,0.0
England Championship,2023,home_fouls,0,0,557,0.0,0.0,0.0
England Championship,2023,home_possession,0,0,557,0.0,0.0,0.0
England Championship,2023,home_prematch_xg,0,24,557,0.0,4.308797127468582,0.0
England Championship,2023,home_red_cards,0,0,557,0.0,0.0,0.0
England Championship,2023,home_shots_off_target,0,0,557,0.0,0.0,0.0
England Championship,2023,home_shots_on_target,0,0,557,0.0,0.0,0.0
England Championship,2023,home_total_shots,0,0,557,0.0,0.0,0.0
England Championship,2023,home_xg,0,0,557,0.0,0.0,0.0
England Championship,2023,home_yellow_cards,0,0,557,0.0,0.0,0.0
England Championship,2024,away_attacks,0,29,557,0.0,5.206463195691203,0.0
England Championship,2024,away_corners,2,0,557,0.3590664272890485,0.0,0.3590664272890485
